,Player,Position,Height,Weight,Draft Year,2024-2025 Leagues,2024-2025 Team,NHL Rights,2025 NHL Equivalency,Star Probability,NHLer Probability
1230,Gian Meier,D,"6'2""",181,1,superelit,Frölunda HC J20,-,3.85,0.41%,1.1%
1231,Kuzma Voronin,F,"5'11""",172,1,ushl,totals,-,6.71,0.41%,1.28%
1232,Roman Faith,F,"6'0""",174,5,slovakia,HC Banska Bystrica,-,20.19,0.41%,1.68%
261,Felix Farhammar,D,"6'1""",185,0,"j18 allsvenskan, superelit, j18-elit",Örebro HK J20,-,3.79,0.4%,1.73%
1234,Jordan Keller,F,"5'11""",176,2,whl,Kamloops Blazers,-,11.07,0.4%,1.59%
1235,Tom Kastanek,D,"6'1""",181,1,czech-u20,HC Dynamo Pardubice U20,-,1.78,0.4%,0.49%
1236,Alex Miftyayev,D,"5'11""",165,3,vhl,Buran Voronezh,-,3.96,0.4%,0.18%
1237,Jake Karabela,F,"5'11""",187,3,ohl,Guelph Storm,Washington Capitals,7.88,0.4%,0.87%
262,Edison Engle,D,"6'2""",174,0,ushl,totals,-,3.69,0.4%,1.85%
1239,Daniil Ye. Kondratyev,F,"6'0""",192,1,nmhl,Dynamo-576 St. Petersburg,-,4.7,0.4%,1.48%
1240,Kai Janviriya,D,"5'8""",170,2,ncaa,Univ. of Connecticut,-,5.7,0.4%,0.42%
1241,Roman Wolynec,F,"5'11""",174,2,usphl-premier,Seattle Totems,-,14.19,0.4%,1.66%
1242,Konstantin Savchik,D,"5'10""",170,2,vhl,Yugra Khanty-Mansiysk,-,3.92,0.4%,0.07%
1243,Jesse Nurmi,F,"5'11""",176,2,"wjc-20, ohl",London Knights,New York Islanders,7.33,0.4%,0.77%
1244,Peetu Kiukas,D,"5'11""",165,2,"liiga, u20 sm-liiga",SaiPa U20,-,7.04,0.4%,2.19%
1245,Elliott Groenewold,D,"6'2""",201,1,ncaa,Quinnipiac Univ.,Boston Bruins,5.02,0.4%,2.52%
263,Juho Kuisma,F,"6'1""",214,0,u18 sm-sarja,Tappara U18,-,4.48,0.4%,1.68%
1247,Alexis Michaud,F,"6'0""",181,1,qmjhl,totals,-,7.1,0.4%,1.26%
1248,A.J. Lacroix,F,"6'0""",194,2,"ushl, bchl",Brooks Bandits,-,3.84,0.4%,0.75%
1249,Kyle Masters,D,"6'0""",176,4,"ahl, echl",Iowa Heartlanders,Minnesota Wild,5.87,0.4%,0.42%
264,William Horcoff,F,"6'4""",181,0,"wjc-18, ncaa, ushl, usdp",U.S. National U18 Team,-,6.3,0.4%,3.1%
1251,Max Koskipirtti,F,"6'0""",181,3,ncaa,Michigan Tech,-,11.92,0.4%,2.18%
1252,Owen Gallatin,D,"5'8""",168,5,"ncaa, echl",Univ. of Minnesota-Duluth,-,6.1,0.4%,0.24%
1253,Tristan Sarsland,D,"6'0""",185,3,ncaa,Clarkson Univ.,-,9.37,0.4%,1.13%
265,Yegor Kachalov,F,"6'3""",185,0,"mhl, russia-u18",totals,-,4.9,0.4%,2.23%
1255,Michael Mesic,F,"5'11""",179,3,ushl,Youngstown Phantoms,-,11.11,0.4%,0.92%
266,Ivan Bercik,F,"5'10""",185,0,"slovakia, slovakia2, slovakia-u20",totals,-,6.05,0.4%,1.39%
1257,Jacob Carey,F,"6'1""",201,1,usphl-premier,Springfield Jr. Pics,-,5.97,0.4%,1.14%
1258,Vsevolod Komarov,D,"6'2""",183,3,ahl,Rochester Americans,Buffalo Sabres,8.33,0.4%,2.4%
1259,Alexei Gostev,F,"6'2""",190,2,mhl,MHK Dynamo St. Petersburg,-,5.53,0.4%,1.34%
1260,Chase Coughlan,F,"5'11""",194,2,ohl,Sudbury Wolves,-,7.81,0.4%,0.96%
267,Max Psenicka,D,"6'5""",185,0,"czech-u20, czech, whl",Portland Winterhawks,-,4.05,0.4%,2.77%
1262,Jack Harvey,F,"5'10""",176,4,ncaa,Boston Univ.,Tampa Bay Lightning,10.72,0.4%,1.21%
1263,Ryan Zaremba,F,"5'9""",179,1,ushl,totals,-,6.25,0.4%,0.63%
1264,Danila Barabash,F,"5'10""",183,5,kazakhstan,Gornyak Rudny,-,15.15,0.4%,0.98%
1265,Nathan Aspinall,F,"6'7""",194,1,"ahl, ohl",Flint Firebirds,New York Rangers,8.29,0.4%,7.93%
1266,Jack Kernan,F,"6'2""",196,2,ushl,Des Moines Buccaneers,-,9.84,0.4%,2.2%
268,Ihnat Pazii,F,"5'9""",174,0,ohl,North Bay Battalion,-,6.22,0.4%,0.82%
1268,Sander Wold,F,"5'10""",174,3,norway,Frisk Asker,-,13.23,0.4%,0.99%
1269,Liam Valente,F,"5'11""",190,4,ncaa,Western Michigan Univ.,-,12.48,0.4%,1.0%
1270,Florian Elias,F,"5'8""",170,5,del,Augsburger Panther,-,15.15,0.4%,0.41%
1271,Arseni Kukhno,D,"6'0""",176,1,mhl,Sibirskie Snaipery Novosibirsk,-,5.52,0.4%,0.92%
269,Nikita Godovanyuk,F,"6'3""",216,0,russia-u18,Yamal Salekhard U18,-,1.64,0.4%,1.73%
1273,Max Scott,F,"6'0""",185,4,ncaa,Brown Univ.,-,12.91,0.4%,0.7%
1274,Danil Avershin,F,"6'2""",194,5,khl,HK Sochi,-,18.67,0.39%,2.92%
1275,Brady Andrews,D,"6'3""",190,1,ushs-prep,Portsmouth Abbey School,-,0.09,0.39%,0.44%
1276,Lukas Cormier,D,"5'10""",190,5,ahl,Henderson Silver Knights,Vegas Golden Knights,15.13,0.39%,20.15%
1277,Ilya Gavrilov,D,"6'2""",187,4,vhl,HK Chelny,-,8.28,0.39%,1.0%
1278,Eduard Shetle,D,"6'2""",187,4,vhl,Magnitka Magnitogorsk,-,5.87,0.39%,1.12%
1279,Dominik Rymon,F,"5'10""",157,3,whl,Everett Silvertips,-,11.76,0.39%,1.69%
1280,Alexis Daviault,D,"6'0""",185,2,ohl,Erie Otters,-,6.65,0.39%,5.19%
270,Kadon Mccann,F,"6'3""",205,0,whl,Medicine Hat Tigers,-,3.26,0.39%,2.16%
271,Cole Chandler,F,"6'1""",187,0,qmjhl,Shawinigan Cataractes,-,4.61,0.39%,1.77%
1283,Justin Larose,F,"5'9""",174,2,qmjhl,totals,-,8.93,0.39%,1.05%
1284,Isac Born,F,"6'0""",176,3,shl,Frölunda HC,-,13.65,0.39%,2.62%
1285,Rhys Bentham,D,"5'10""",172,5,ncaa,Yale Univ.,-,7.94,0.39%,0.14%
1286,Egor Barabanov,F,"6'0""",181,1,ushl,totals,-,8.17,0.39%,1.72%
1287,Artyom Kashtanov,F,"6'5""",157,2,"khl, vhl",Avtomobilist Yekaterinburg,-,15.7,0.39%,7.67%
1288,Trae Wilke,F,"6'0""",192,1,whl,totals,-,6.47,0.39%,1.45%
1289,Francesco Arcuri,F,"6'1""",185,4,echl,Idaho Steelheads,Dallas Stars,12.04,0.39%,3.81%
1290,Harry Ahlberg,F,"6'0""",205,2,superelit,AIK J20,-,5.92,0.39%,1.28%
1291,Matthew Dimarsico,F,"6'0""",181,3,ncaa,Penn State Univ.,-,13.04,0.39%,1.97%
272,Daylin Monias,F,"6'2""",240,0,mmhl,Norman Northstars U18 AAA,-,0.86,0.39%,1.5%
1293,Lucas Moore,D,"5'10""",192,2,ohl,Brantford Bulldogs,-,3.65,0.39%,1.67%
1294,Jaroslav Chmelar,F,"6'5""",220,4,ahl,Hartford Wolf Pack,New York Rangers,13.04,0.39%,6.55%
1295,Richard Baran,D,"6'1""",185,1,ushl,Des Moines Buccaneers,-,6.52,0.39%,1.44%
1296,Nathan Free,F,"5'10""",165,1,bchl,Brooks Bandits,-,8.03,0.39%,1.3%
273,Stepan Gornov,F,"6'1""",176,0,"mhl, russia-u18",Chaika Nizhny Novgorod,-,5.89,0.39%,2.46%
1298,Kirill Sorokin,F,"6'0""",183,1,mhl,MHK Dynamo St. Petersburg,-,6.33,0.39%,1.08%
1299,Ondrej Molnar,F,"6'0""",183,2,ohl,Sudbury Wolves,-,7.47,0.39%,1.25%
1300,Gabe Klassen,F,"5'10""",183,4,"ahl, echl",Wheeling Nailers,-,8.64,0.39%,2.73%
274,Michal Capos,D,"6'5""",216,0,"wjc-18, slovakia, nahl",Johnstown Tomahawks,-,1.57,0.38%,3.65%
275,David Krcal,F,"6'1""",187,0,"czech-u20, czech2",HC Dynamo Pardubice U20,-,5.28,0.38%,1.72%
1303,Philippe Daoust,F,"6'1""",194,5,ahl,Belleville Senators,Ottawa Senators,13.51,0.38%,5.01%
1304,Mark Grzheletsky,F,"5'9""",176,1,mhl,Kuznetskie Medvedi,-,8.59,0.38%,0.66%
276,Grady Dimberio,F,"6'3""",185,0,ushs-mn,Rock Ridge High,-,4.25,0.38%,2.79%
277,Dryden Allen,D,"6'1""",187,0,ushl,Dubuque Fighting Saints,-,2.93,0.38%,1.74%
1307,Theodor Johnsson,D,"6'1""",187,4,liiga,Sport,-,10.85,0.38%,0.83%
278,Mason Kraft,F,"5'11""",190,0,"ushl, ushs-mn",Moorhead High,-,5.12,0.38%,1.15%
1309,Hampus Malm,D,"6'2""",183,3,division-1,Borlänge HF,-,5.86,0.38%,0.53%
1310,Coster Dunn,F,"6'1""",187,2,whl,Seattle Thunderbirds,-,9.51,0.38%,2.43%
1311,Mikael Pyyhtia,F,"6'0""",176,5,"ahl, nhl",Columbus Blue Jackets,Columbus Blue Jackets,14.47,0.38%,2.48%
1312,Ivan Podshivalov,F,"5'10""",172,5,khl,Severstal Cherepovets,-,17.0,0.38%,0.58%
1313,Yegor Zelenov,D,"6'0""",187,5,vhl,SKA-Neva St. Petersburg,-,7.63,0.38%,0.79%
1314,Anton Olsson,D,"5'11""",192,1,"allsvenskan, superelit",Mora IK J20,-,6.74,0.38%,2.62%
1315,Josh Davies,F,"5'10""",201,3,"ahl, echl",Savannah Ghost Pirates,Florida Panthers,3.71,0.38%,0.76%
1316,Ilya Yepishchev,F,"6'4""",198,4,vhl,Toros Neftekamsk,-,14.76,0.38%,3.17%
1317,Elias Koponen,F,"5'10""",192,5,mestis,TUTO Hockey,-,12.36,0.38%,1.55%
279,Nikita Sobolev,F,"6'3""",205,0,"mhl, russia-u18",Sokol Krasnoyarsk U18,-,3.29,0.38%,1.82%
280,Vit Zahejsky,F,"5'10""",168,0,"wjc-18, whl",Kamloops Blazers,-,4.49,0.38%,1.31%
1320,Elias Pettersson,D,"6'3""",209,3,"ahl, nhl",Abbotsford Canucks,Vancouver Canucks,10.02,0.38%,16.52%
1321,Noah Reinhart,F,"6'1""",201,3,qmjhl,totals,-,11.72,0.38%,2.42%
1322,Myles Hilman,F,"5'9""",194,3,ncaa,Univ. of Nebraska-Omaha,-,7.63,0.38%,0.38%
1323,Isaac Gordon,F,"6'0""",187,3,ncaa,Michigan Tech,-,11.47,0.38%,2.21%
1324,Matvei Petrov,F,"6'2""",201,4,ahl,Bakersfield Condors,Edmonton Oilers,10.22,0.38%,6.09%
1325,Louis-Charles Plourde,F,"6'2""",192,2,qmjhl,Baie-Comeau Drakkar,-,9.23,0.38%,1.67%
1326,Emil Kuusla,F,"5'9""",168,2,mestis,Jokerit,-,11.81,0.38%,0.74%
1327,Alex Suzdalev,F,"6'2""",181,3,echl,South Carolina Stingrays,Washington Capitals,9.39,0.38%,3.56%
1328,Melker Hof,F,"6'2""",198,1,superelit,Frölunda HC J20,-,7.49,0.38%,2.88%
281,Charles Hilton,F,"6'5""",231,0,ohl,totals,-,2.23,0.38%,1.77%
1330,Edvin Isen,D,"6'0""",172,4,division-1,Tyresö/Hanviken,-,5.7,0.38%,0.17%
1331,Nikita Shavin,F,"6'0""",179,5,"khl, vhl",Torpedo Nizhny Novgorod,-,18.89,0.38%,1.48%
1332,Teague Patton,F,"5'11""",172,3,usports,Mount Royal Univ.,-,12.77,0.38%,1.27%
1333,Jacob Melanson,F,"6'1""",205,4,ahl,Coachella Valley Firebirds,Seattle Kraken,9.88,0.38%,3.96%
1334,Maxim Krovyakov,F,"6'4""",207,5,"khl, vhl",Khimik Voskresensk,-,16.61,0.38%,13.78%
282,Andrei Korablyov,F,"6'4""",212,0,mhl,SKA-Yunior Krasnogorsk,-,1.31,0.38%,2.01%
1336,Pavel Gavrilovich,F,"6'0""",207,1,mhl,Stalnye Lisy Magnitogorsk,-,6.31,0.38%,1.03%
1337,Jan Mysak,F,"5'11""",190,5,ahl,San Diego Gulls,Montreal Canadiens,19.72,0.38%,1.93%
283,Ivan Stefanishin,D,"5'10""",181,0,mhl,totals,-,4.48,0.38%,1.66%
1339,Sergei Drugalya,D,"5'9""",176,5,vhl,Chelmet Chelyabinsk,-,8.8,0.38%,0.47%
1340,Drew Fortescue,D,"6'2""",176,2,"wjc-20, ncaa",Boston College,New York Rangers,4.06,0.38%,1.19%
1341,Saveli Zhirov,F,"5'9""",163,1,mhl,Russkie Vityazi,-,7.92,0.37%,1.07%
284,Sean Barnhill,D,"6'5""",214,0,ushl,Dubuque Fighting Saints,-,2.61,0.37%,3.33%
1343,Christoffer Sedoff,D,"6'1""",196,5,ahl,Henderson Silver Knights,-,7.33,0.37%,1.04%
1344,Kirill Svishchyov,F,"6'2""",185,2,"khl, vhl, mhl",Torpedo-Gorky NN,-,9.43,0.37%,2.5%
285,Anton Antipov,D,"6'2""",201,0,"mhl, russia-u18",MHK Atlant Mytishchi,-,2.81,0.37%,2.38%
286,Gabe Chiarot,F,"5'11""",190,0,ohl,Brampton Steelheads,-,6.26,0.37%,0.99%
1347,Michael Buchinger,D,"6'0""",190,3,ahl,Springfield Thunderbirds,St. Louis Blues,5.64,0.37%,20.62%
287,Tim-Kristian Lukkarinen,F,"6'2""",203,0,superelit,Södertälje SK J20,-,4.49,0.37%,1.59%
1349,Petr Hauser,F,"6'4""",207,3,"czech2, czech",totals,New Jersey Devils,8.78,0.37%,3.48%
1350,Griffin Erdman,F,"5'9""",187,2,ncaa,Northeastern Univ.,-,1.29,0.37%,0.33%
1351,Dante Josefsson Westling,F,"6'2""",187,1,superelit,Örebro HK J20,-,9.24,0.37%,3.73%
288,Liam Beamish,F,"5'11""",179,0,"ohl, bchl",Sarnia Sting,-,6.59,0.37%,1.25%
289,Fyodor Yaskin,F,"6'4""",205,0,"mhl, russia-u18",Kapitan Stupino,-,2.47,0.37%,2.81%
1354,Stanislav Svozil,D,"6'0""",181,4,ahl,Cleveland Monsters,Columbus Blue Jackets,12.16,0.37%,3.98%
1355,Artyom Gumenyuk,F,"6'3""",207,1,mhl,totals,-,5.27,0.37%,1.25%
290,Maddox Labre,D,"6'2""",179,0,qmjhl,Victoriaville Tigres,-,2.87,0.37%,1.57%
291,Saveli Ponomaryov,D,"6'3""",220,0,belarus-vysshaya,Team Belarus U18,-,1.68,0.37%,3.99%
292,Dakoda Rheaume-Mullen,D,"6'0""",181,0,ncaa,Univ. of Michigan,-,4.09,0.37%,2.03%
1359,Wiggo Karlsson,F,"6'3""",231,2,j20-elit,Halmstad Hammers HC J20,-,2.49,0.37%,1.11%
1360,Sebastian Tornqvist,D,"5'11""",187,4,ncaa,Univ. of Vermont,-,9.23,0.37%,1.92%
293,Ivan Ryabinin,F,"6'1""",183,0,russia-u18,Arktika Murmansk U18,-,5.65,0.37%,2.15%
1362,Kalan Lind,F,"6'1""",150,2,whl,Red Deer Rebels,Nashville Predators,8.45,0.37%,2.14%
1363,Artyom Bondar,F,"6'1""",187,1,mhl,MHK Dynamo Moskva,-,8.94,0.37%,3.19%
1364,Rasim Shakirov,F,"6'0""",172,5,vhl,Bars Kazan,-,19.23,0.37%,0.86%
1365,Krists Retenais,D,"5'11""",194,1,"wjc-20, nahl, bchl",Brooks Bandits,-,1.1,0.37%,0.36%
294,Rafael Cloutier,F,"6'3""",192,0,qmjhl,Blainville-Boisbriand Armada,-,3.5,0.37%,2.58%
1367,Saveli Rybenok,F,"6'2""",205,2,mhl,MHK Spartak Moskva,-,6.13,0.37%,1.86%
1368,Sebastien Gervais,F,"6'1""",190,2,ohl,Saginaw Spirit,-,6.42,0.37%,1.14%
1369,Devin Kaplan,F,"6'3""",201,3,ncaa,Boston Univ.,Philadelphia Flyers,7.53,0.37%,2.31%
1370,Damir Nevretdinov,F,"6'1""",192,2,mhl,totals,-,9.56,0.37%,1.76%
1371,Finn Mclaughlin,D,"6'2""",203,1,ushl,totals,-,4.97,0.37%,3.63%
1372,Justin Janicke,F,"6'0""",187,4,ncaa,Univ. of Notre Dame,Seattle Kraken,14.22,0.37%,1.16%
1373,Roman Kechter,F,"5'11""",185,3,del,Nürnberg Ice Tigers,-,10.54,0.37%,0.9%
1374,Wilhelm Hasselhuhn,D,"6'0""",176,1,superelit,Linköping HC J20,-,4.53,0.37%,0.92%
1375,Luke Coughlin,D,"5'10""",183,2,qmjhl,Rimouski Océanic,Florida Panthers,4.1,0.37%,0.96%
295,Cash Koch,F,"6'0""",196,0,whl,Tri-City Americans,-,3.42,0.37%,1.14%
296,Niles Benson,F,"6'1""",190,0,ushl,Green Bay Gamblers,-,4.73,0.37%,1.94%
297,Liam Kilfoil,F,"5'11""",176,0,"wjc-18, qmjhl",Halifax Mooseheads,-,6.15,0.37%,1.34%
1379,Joe Connor,F,"5'10""",174,2,ncaa,Northeastern Univ.,Tampa Bay Lightning,7.3,0.37%,1.37%
1380,Marc-Olivier Beaudry,D,"6'1""",187,2,qmjhl,Drummondville Voltigeurs,-,4.61,0.37%,1.05%
1381,Layne Loomer,F,"5'11""",187,2,ushl,Lincoln Stars,-,8.24,0.37%,1.16%
1382,Valentin Zhugin,F,"5'11""",185,2,"khl, vhl",Magnitka Magnitogorsk,-,3.76,0.37%,0.53%
1383,Ryan Kirwan,F,"6'2""",205,5,ncaa,Arizona State Univ.,-,16.75,0.37%,4.94%
1384,Sebastian Peter Skoog,D,"6'3""",201,1,superelit,Linköping HC J20,-,2.0,0.37%,1.52%
1385,Calle Westerlund,D,"5'10""",161,5,division-2,Strömsbro IF,-,4.72,0.37%,0.03%
1386,Saige Weinstein,D,"6'1""",190,2,whl,Spokane Chiefs,-,4.81,0.37%,2.1%
298,Michal Jansa,D,"6'5""",201,0,usphl-premier,Columbus Mavericks,-,2.84,0.37%,2.92%
1388,Jacob Jastrzebski,F,"6'0""",192,2,ushl,Des Moines Buccaneers,-,5.49,0.37%,1.26%
299,Ivan Yanovsky,F,"5'10""",172,0,mhl,Tyumenski Legion,-,6.72,0.36%,1.03%
1390,Seth Fryer,D,"6'7""",205,1,whl,Victoria Royals,-,2.25,0.36%,1.72%
1391,Maxim Venskel,D,"6'3""",183,1,mhl,Krasnaya Armiya Moskva,-,3.32,0.36%,0.55%
1392,Roan Woodward,F,"5'10""",179,2,whl,Edmonton Oil Kings,-,9.03,0.36%,1.21%
1393,Isaak Phillips,D,"6'3""",205,5,ahl,totals,Chicago Blackhawks,7.63,0.36%,13.31%
1394,Tristan Allen,D,"5'11""",181,4,ncaa,RIT (Rochester Inst. of Tech.),-,7.22,0.36%,0.48%
1395,Max Strand,F,"5'10""",190,4,ncaa,Univ. of Vermont,-,10.59,0.36%,1.01%
1396,Lucas Thaler,F,"5'11""",179,5,ebel,EC Salzburg,-,16.57,0.36%,0.64%
300,Kaleb Hartmann,D,"6'1""",181,0,whl,Seattle Thunderbirds,-,3.33,0.36%,1.15%
1398,Hunter St. Martin,F,"6'2""",185,2,whl,Medicine Hat Tigers,Florida Panthers,10.51,0.36%,3.36%
1399,Mark Sever,F,"5'11""",181,2,nlb,EHC Olten,-,10.44,0.36%,1.0%
1400,Mael Lavigne,F,"6'4""",203,2,qmjhl,totals,-,7.18,0.36%,1.99%
1401,Colton Jamieson,D,"6'0""",198,2,ushl,Madison Capitols,-,7.5,0.36%,0.89%
301,Alonso Gosselin,D,"6'1""",196,0,qmjhl,Chicoutimi Saguenéens,-,2.55,0.36%,2.16%
302,Malachi Mckinnon,F,"5'9""",168,0,"ushl, bchl",Sherwood Park Crusaders,-,6.41,0.36%,0.71%
1404,Gustav Sjoqvist,D,"6'3""",207,1,"allsvenskan, superelit",AIK,-,4.81,0.36%,3.8%
1405,Albin Sundin,D,"6'2""",198,3,"allsvenskan, shl",Frölunda HC,Edmonton Oilers,6.17,0.36%,1.84%
1406,Matej Kubiesa,F,"6'0""",172,1,"czech-u20, czech2",HC Frydek-Mistek,-,10.73,0.36%,3.07%
303,Imrich Maxin,F,"6'0""",198,0,czech-u20,BK Mladá Boleslav U20,-,4.08,0.36%,1.72%
1408,Saveli Luchenkov,F,"5'11""",194,2,mhl,totals,-,7.94,0.36%,0.68%
1409,Luke Marchant,F,"5'7""",170,1,ushs-prep,SISU Thunderbirds College Prep,-,4.79,0.36%,0.3%
304,Josh Mcgregor,D,"6'3""",174,0,whl,Swift Current Broncos,-,2.94,0.36%,0.99%
1411,Oskar Lisler,F,"6'2""",194,1,superelit,Linköping HC J20,-,6.16,0.36%,2.01%
1412,Guillaume Richard,D,"6'2""",187,4,"ncaa, ahl",Providence College,Columbus Blue Jackets,7.78,0.36%,2.12%
1413,Hjalte Kruse Thomsen,F,"6'0""",172,1,denmark,Herning Blue Fox,-,9.34,0.36%,1.17%
1414,Artem Shlaine,F,"6'1""",187,5,"ncaa, ahl",Arizona State Univ.,New Jersey Devils,17.18,0.36%,2.31%
1415,Gavin Bryant,F,"5'11""",187,3,ohl,Peterborough Petes,-,5.47,0.36%,1.48%
1416,Tate Taylor,D,"5'11""",174,3,ncaa,Clarkson Univ.,-,7.7,0.36%,0.92%
1417,Ivan Skibitsky,F,"6'0""",223,1,belarus-vysshaya,Yunior Minsk,-,1.88,0.36%,0.72%
1418,Quentin Tomasino,F,"5'8""",157,5,"allsvenskan, france",Rouen,-,10.73,0.36%,0.24%
1419,Eero Niemi,F,"6'0""",205,4,mestis,RoKi,-,10.25,0.36%,0.9%
305,Ignat Asinovsky,F,"6'1""",174,0,russia-u18,totals,-,6.28,0.36%,1.84%
306,Cole Cheeseman,F,"5'8""",154,0,ushs-mn,Academy of Holy Angels,-,6.12,0.36%,1.03%
1422,Ben Hemmerling,F,"6'0""",181,3,ahl,Henderson Silver Knights,Vegas Golden Knights,3.76,0.36%,2.15%
307,Harper Frey,D,"6'1""",194,0,"ushl, nahl",Wisconsin Windigo,-,3.62,0.36%,2.34%
1424,Tanner Scott,F,"5'8""",176,3,whl,totals,-,7.19,0.36%,0.45%
1425,Finn Harding,D,"6'2""",192,2,ohl,Brampton Steelheads,Pittsburgh Penguins,10.05,0.36%,4.59%
1426,Lucas Stockselius,F,"6'2""",192,2,"division-1, allsvenskan, superelit",Djurgårdens IF J20,-,8.11,0.36%,2.09%
1427,Adam Belusko,D,"5'11""",187,1,whl,Brandon Wheat Kings,-,3.72,0.36%,0.87%
308,Yegor Zubkov,D,"5'9""",172,0,russia-u18,Atlant Mytishchi U18,-,3.99,0.36%,1.36%
1429,Cameron Berg,F,"6'0""",192,5,ncaa,Univ. of North Dakota,New York Islanders,13.44,0.36%,2.85%
309,Patrik Rusznyak,D,"6'4""",203,0,"wjc-18, slovakia2, slovakia-u20",Team Slovakia U18,-,1.78,0.35%,2.43%
1431,Kirill Vasilyev,D,"5'10""",176,4,vhl,Yunison-Moskva,-,7.69,0.35%,0.32%
1432,Andrew Centrella,D,"5'9""",176,3,ncaa,Providence College,-,6.54,0.35%,0.36%
1433,Pavel Mckenzie,F,"6'0""",179,1,whl,Moose Jaw Warriors,-,8.01,0.35%,1.09%
1434,Niklas Karjalainen,F,"6'2""",220,1,u20 sm-liiga,Jukurit U20,-,2.14,0.35%,0.68%
1435,Logan Sawyer,F,"6'1""",174,1,ncaa,Providence College,Montreal Canadiens,6.87,0.35%,1.75%
310,Timofei Kireyev,F,"5'11""",179,0,"mhl, russia-u18",Mamonty Yugry,-,3.55,0.35%,1.11%
1437,Islam Garaishin,D,"5'9""",161,4,vhl,Neftyanik Almetievsk,-,6.12,0.35%,0.28%
1438,Alex Andriyashev,D,"5'11""",187,1,mhl,totals,-,3.41,0.35%,0.72%
1439,Yu Sato,F,"5'10""",170,5,vhl,Dynamo-Altay Barnaul,-,17.18,0.35%,0.63%
1440,Alexis Lemire,D,"6'2""",181,1,qmjhl,Rouyn-Noranda Huskies,-,3.2,0.35%,0.59%
1441,Gavin Garry,F,"6'2""",203,2,ushl,Sioux City Musketeers,-,6.65,0.35%,1.43%
311,Reko Alanko,D,"6'6""",205,0,"u18 sm-sarja, u20 sm-liiga",Jokerit U18,-,1.22,0.35%,2.61%
1443,Ivan Kornilov,D,"6'2""",185,1,mhl,SKA-1946 St. Petersburg,-,1.92,0.35%,0.86%
1444,Frantisek Formanek,F,"5'10""",187,3,czech2,HC Dynamo Pardubice B,-,8.45,0.35%,0.8%
1445,Grigori Seleznyov,F,"6'1""",165,5,khl,Neftekhimik Nizhnekamsk,-,20.41,0.35%,1.32%
1446,Vasili Shumilov,D,"5'11""",187,4,vhl,Torpedo-Gorky NN,-,6.48,0.35%,2.42%
1447,Jake Fisher,F,"6'2""",192,2,ncaa,Univ. of Denver,Colorado Avalanche,5.67,0.35%,1.96%
1448,Matt Basgall,D,"5'10""",190,5,ncaa,Michigan State Univ.,-,11.16,0.35%,1.4%
312,Atte Joki,F,"6'2""",190,0,"wjc-18, u20 sm-liiga",Lukko U20,-,4.85,0.35%,2.3%
1450,Daniel Astapovich,F,"6'3""",198,2,ushl,Cedar Rapids RoughRiders,-,8.9,0.35%,2.12%
313,Haoxi Wang,D,"6'6""",209,0,"ohl, ojhl",King Rebellion,-,1.22,0.35%,2.53%
1452,Yegor Kuzmin,F,"5'9""",183,2,mhl,totals,-,6.16,0.35%,0.56%
314,Toby Odushkin,F,"6'1""",190,0,usphl-premier,Bellingham Blazers,-,5.43,0.35%,1.47%
1454,Dimitry Kebreau,F,"5'10""",181,4,ncaa,Univ. of Alaska-Anchorage,-,11.79,0.35%,0.46%
1455,Vladislav Sapunov,D,"6'0""",161,3,vhl,SKA-Neva St. Petersburg,-,4.11,0.35%,0.1%
1456,Rylan Brown,D,"6'0""",161,2,ncaa,Michigan Tech,-,7.94,0.35%,0.8%
1457,Danny Dzhaniyev,F,"5'5""",150,4,ncaa,Penn State Univ.,-,12.31,0.35%,0.17%
1458,Ryan Lund,D,"6'3""",198,1,nahl,Austin Bruins,-,2.7,0.35%,1.31%
1459,Nace Langus,F,"6'1""",190,2,ncaa,Augustana Univ.,-,8.77,0.35%,1.35%
1460,Felix Johansson,F,"6'1""",187,2,"allsvenskan, superelit",Mora IK,-,9.47,0.35%,1.24%
315,Nikita Yesipov,F,"6'2""",198,0,"mhl, russia-u18",Krasnaya Armiya Moskva,-,2.03,0.35%,1.31%
1462,Benjamin Ivey,F,"6'4""",220,3,ncaa,Army (U.S. Military Academy),-,9.02,0.35%,2.39%
1463,Logan Crosby,F,"6'3""",203,1,qmjhl,totals,-,4.0,0.35%,1.37%
316,Jere Somervuori,F,"6'0""",159,0,"wjc-18, u20 sm-liiga",HIFK U20,-,6.63,0.35%,2.23%
1465,Adam Fortier-Gendron,D,"5'10""",194,1,qmjhl,Moncton Wildcats,-,4.47,0.35%,1.09%
1466,Brett Harrison,F,"6'2""",190,4,ahl,Providence Bruins,Boston Bruins,11.8,0.35%,3.69%
1467,Jiri Felcman,F,"6'4""",198,2,"wjc-20, nla, u20-elit",SCL Tigers,Chicago Blackhawks,8.83,0.35%,2.56%
1468,Philip Granath,F,"5'7""",165,4,liiga,Tappara,-,10.59,0.35%,0.36%
1469,Evan Konyen,F,"6'0""",181,3,ohl,Flint Firebirds,-,7.27,0.35%,0.95%
317,Will Reynolds,D,"6'3""",192,0,qmjhl,Acadie-Bathurst Titan,-,2.02,0.35%,1.75%
1471,Yevgeni Kashnikov,D,"6'5""",201,4,"khl, vhl",Avtomobilist Yekaterinburg,San Jose Sharks,8.83,0.35%,5.15%
